Temperature,L,R,A_M,Spectral_Class,Type,Color_Blue,Color_Blue White,Color_Blue white,Color_Blue-White,Color_Blue-white,Color_Orange,Color_Orange-Red,Color_Pale yellow orange,Color_Red,Color_White,Color_White-Yellow,Color_Whitish,Color_Yellowish,Color_Yellowish White,Color_white,Color_yellow-white,Color_yellowish
3068,0.0024,0.17,16.12,M,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3042,0.0005,0.1542,16.6,M,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2600,0.0003,0.102,18.7,M,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2800,0.0002,0.16,16.65,M,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1939,0.000138,0.103,20.06,M,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2840,0.00065,0.11,16.98,M,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2637,0.00073,0.127,17.22,M,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2600,0.0004,0.096,17.4,M,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2650,0.00069,0.11,17.45,M,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2700,0.00018,0.13,16.05,M,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3600,0.0029,0.51,10.69,M,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3129,0.0122,0.3761,11.79,M,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3134,0.0004,0.196,13.21,M,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3628,0.0055,0.393,10.48,M,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2650,0.0006,0.14,11.782,M,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3340,0.0038,0.24,13.07,M,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2799,0.0018,0.16,14.79,M,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3692,0.00367,0.47,10.8,M,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3192,0.00362,0.1967,13.53,M,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3441,0.039,0.351,11.18,M,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25000,0.056,0.0084,10.58,B,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7740,0.00049,0.01234,14.02,A,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7220,0.00017,0.011,14.23,F,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
